Time (ms),RMS Speed (m/s)
5133.333333333349,1.0765494
5141.666666666683,0.8383172
5150.000000000017,0.6260876
5158.333333333351,0.8029091
5195.833333333354,0.41253927
5204.166666666688,0.41919863
5212.500000000022,0.53518534
5225.000000000023,0.7500252
5237.500000000024,0.6583618
5250.000000000025,0.60155064
5266.666666666692,1.047471
5287.500000000027,0.4579372
5291.666666666694,0.43739867
5300.000000000028,0.68024516
5325.00000000003,0.7562842
5370.833333333367,0.19569197
5404.166666666702,0.5103836
5437.500000000038,0.87314135
5445.833333333372,0.6848813
5454.166666666706,1.1825035
5470.833333333374,0.16403162
5512.500000000044,1.0128096
5516.666666666711,0.32183307
5520.833333333378,1.0174052
5525.000000000045,0.8921714
5579.166666666715,0.8137084
5633.333333333386,0.82484
5637.500000000053,0.9101726
5654.166666666721,0.60873306
5691.666666666723,0.74362737
5695.83333333339,0.96257496
5712.500000000058,0.7554025
5716.666666666725,0.64506096
5720.833333333392,0.61789876
5762.500000000062,0.86920965
5770.833333333396,0.58836585
5804.1666666667315,0.48320988
5808.3333333333985,0.15233031
5812.5000000000655,0.5790131
5833.3333333334,0.62696403
5841.666666666734,0.7035078
5854.166666666735,0.26419365
5858.333333333402,0.44266397
5908.333333333406,0.94290894
5945.8333333334085,0.4674558
5950.0000000000755,0.3043098
6008.333333333413,0.1776062
6012.50000000008,0.648644
6020.833333333414,1.0494037
6029.166666666748,0.936171
6037.500000000082,0.98287964
6062.500000000084,0.6429204
6120.833333333421,0.5652848
6133.333333333422,0.8336219
6137.500000000089,0.5610875
6170.833333333425,0.761982
6175.000000000092,0.6670096
6200.000000000094,0.7717924
6216.666666666762,0.7224565
6229.1666666667625,0.7117871
6241.666666666763,0.31477243
6245.83333333343,0.9348214
6258.333333333431,0.43542245
6291.666666666767,0.62983847
6304.166666666768,1.0361395
6320.833333333436,0.83011335
6325.000000000103,0.6961568
6333.333333333437,0.3490999
6337.500000000104,0.8918871
6345.833333333438,0.7946348
6370.833333333439,0.430266
6383.33333333344,1.0532584
6400.000000000108,0.7250386
6404.166666666775,1.000979
6445.833333333445,0.7455621
6458.333333333446,0.49978524
6508.333333333449,0.5088752
6533.333333333451,0.4927113
6575.000000000121,0.60691696
6587.500000000122,1.1334285
6616.666666666791,0.4801409
6625.000000000125,0.17047544
6633.3333333334585,1.0084169
6666.666666666794,0.80718553
6675.000000000128,0.6857931
6679.166666666795,0.83105254
6758.333333333468,0.5335475
6779.1666666668025,0.64934075
6791.666666666803,0.5560944
6816.666666666805,0.87813646
6820.833333333472,0.6611903
6862.500000000142,0.6294997
6883.333333333477,0.15202823
6900.000000000145,0.8509691
6904.166666666812,1.0064396
6912.5000000001455,0.6293494
6937.500000000147,0.88051766
6975.00000000015,0.49549267
6991.666666666818,0.9395952
6995.833333333485,0.72111005
7025.000000000154,0.755444
7029.166666666821,0.17199662
7066.666666666823,0.7198012
7083.333333333491,0.44969577
7141.666666666829,0.71128976
7170.833333333498,0.2567778
7179.166666666832,0.43420398
7195.8333333334995,0.929169
7237.500000000169,0.7015913
7241.666666666836,0.14633086
7258.333333333504,0.32352224
7287.500000000173,0.3447943
7304.166666666841,0.93063194
7420.833333333516,0.22160327
7425.000000000183,0.8161592
7441.666666666851,0.8367105
7445.833333333518,0.6972685
7487.500000000187,0.40658402
7495.833333333521,0.70014256
7525.00000000019,0.7005126
7541.666666666858,0.73113555
7566.66666666686,0.4463578
7583.333333333528,0.2615147
7604.1666666668625,0.51636404
7612.500000000196,0.67072415
7658.333333333533,0.8972536
7691.666666666869,0.7466052
7700.000000000203,0.94256055
7704.16666666687,0.31425548
7708.333333333537,0.85095483
7712.500000000204,0.7748907
7720.833333333538,0.67817837
7737.500000000206,0.864853
7750.0000000002065,0.8062167
7754.166666666873,0.59988475
7766.666666666874,0.4269718
7775.000000000208,0.7833343
7800.00000000021,0.66480696
7883.3333333335495,0.8657731
7941.666666666887,0.39300835
7954.166666666888,0.43531123
7975.000000000223,0.7122983
7979.16666666689,0.80863804
8000.000000000225,0.38679472
8025.0000000002265,0.45001814
8062.500000000229,0.1544025
8075.00000000023,0.89830035
8100.000000000232,0.70673656
8112.500000000233,0.9393612
8116.6666666669,0.6419747
8150.000000000236,0.7172008
8204.166666666904,0.6367069
8220.833333333569,0.7492143
8229.1666666669,0.6980821
8254.166666666897,0.16502632
8300.000000000224,0.79122746
8308.333333333556,0.6720164
8320.833333333554,1.1384174
8350.000000000216,0.578783
8358.333333333549,0.67789996
8370.833333333547,0.7103671
8383.333333333545,0.8045697
8404.166666666875,0.9339908
8408.333333333541,0.910999
8412.500000000207,0.68252623
8416.666666666873,0.7503691
8433.333333333538,1.1716905
8470.833333333532,0.62848634
8479.166666666864,0.4051974
8483.33333333353,0.4777416
8487.500000000196,0.1552103
8495.833333333529,0.7904151
8516.666666666859,0.6708309
8525.000000000191,0.53337055
8529.166666666857,0.96304363
8537.50000000019,0.40719715
8558.33333333352,0.8094687
8562.500000000186,0.32553697
8587.500000000182,0.5907785
8637.500000000175,0.8222783
8650.000000000173,0.51442116
8683.333333333501,0.8381529
8716.66666666683,0.6289399
8758.33333333349,0.6829133
8783.333333333487,1.1528144
8795.833333333485,0.45158768
8800.000000000151,0.31183538
8808.333333333483,0.15506531
